1134,65443,70960
1135,103315,115701
1144,1085,1186
1145,7474,8240
1146,136020,141013
1149,479720,532160
1151,233,151
1160,87259,94185
4601,2308713,2661243
4602,219432,263379
4611,52592,53315
4612,76345,84977
4613,154294,172050
4614,250794,298271
4615,57234,49455
4616,33513,38241
4617,212932,209619
4618,169255,194974
4619,2752,2752
4620,5890,6826
4621,142333,159141
4622,119301,136556
4623,25918,26699
4624,364586,401761
4625,36350,47904
4626,290855,325223
4627,213692,235309
4628,49777,53621
4629,1493,2523
4630,113967,119220
4631,413992,471826
4632,29049,33199
4633,5203,6575
4634,24544,28536
4635,51482,53686
4636,2799,1775
4637,20880,20926
4638,51247,57337
4639,35294,38884
4640,185235,214175
4641,30172,38471
4642,27954,29461
4643,96221,119924
4644,86856,113114
4645,54642,60262
4646,40868,50735
4647,273441,307486
4648,65568,70835
4649,150001,172386
4650,120220,131972
4651,87185,94012
1505,329557,362961
1506,387497,437013
1507,781813,927876
1511,64652,75520
1514,50905,58410
1515,86999,95530
1516,93196,102257
1517,51875,59650
1520,128230,162875
1525,72392,85211
1528,111863,128996
1531,153088,167113
1532,137629,157646
1535,164457,180429
1539,119365,123815
1547,55289,62799
1554,72065,87848
1557,36529,41024
1560,28932,34244
1563,107161,122429
1566,76771,86056
1573,29113,29776
1576,60474,64013
1577,135132,149396
1578,46241,46640
1579,201174,221972
5001,1546966,1750548
5006,308935,344496
5007,225375,245320
5014,58982,63577
5020,7792,8194
5021,98666,104103
5022,36083,40714
5025,52624,56518
5026,36483,43014
5027,86287,94730
5028,178769,198119
5029,52056,59652
5031,141246,162201
5032,53573,56841
5033,5676,6306
5034,26981,27578
5035,261598,285566
5036,35923,39677
5037,315076,338683
5038,160016,166420
5041,26664,30168
5042,21436,22940
5043,3796,4556
5044,12159,12898
5045,17615,21030
5046,17526,18671
5047,32726,35764
5049,11178,12616
5052,3919,8138
5053,75937,88096
5054,133043,154449
5055,63399,70234
5056,57242,67346
5057,115445,129236
5058,50825,61463
5059,209683,238972
5060,138729,152285
5061,30537,37194
1804,492652,535494
1806,319384,354857
1811,27257,30685
1812,18532,21102
1813,109429,115904
1815,5576,6132
1816,519,880
1818,27338,30524
1820,103716,107048
1822,21655,27100
1824,169746,201185
1825,16447,19581
1826,20608,25704
1827,18521,22201
1828,37076,36418
1832,68009,77411
1833,302494,338688
1834,42310,45113
1835,2633,3069
1836,18000,15747
1837,107384,118496
1838,29202,28964
1839,19240,20444
1840,112164,125659
1841,107712,104790
1845,17269,22019
1848,30153,36739
1851,50921,62182
1853,23550,25630
1856,4391,5145
1857,1999,2997
1859,23407,26686
1860,130814,152876
1865,114087,118303
1866,145777,166907
1867,42254,48719
1868,64955,74680
1870,123437,133304
1871,74844,77008
1874,13208,15250
1875,50015,54541
5401,686377,756524
5402,284853,315913
5403,273744,332090
5404,14633,15839
5405,98679,110355
5406,151379,178769
5411,114502,128422
5412,58187,65788
5413,22726,29724
5414,18825,22494
5415,13035,14542
5416,44141,46994
5417,39706,42802
5418,67118,72690
5419,38833,41720
5420,18873,19284
5421,188562,217579
5422,74697,87234
5423,35840,38246
5424,49958,54188
5425,30517,30771
5426,29077,33653
5427,52832,51329
5428,65401,67453
5429,24078,26526
5430,50824,53672
5432,13452,13594
5433,16387,16569
5434,14228,14940
5435,21857,22680
5436,43856,44619
5437,45284,47282
5438,22638,27566
5439,15212,18799
5440,8728,9798
5441,66862,70521
5442,17751,19256
5443,29792,31766
5444,128659,142586
