komnr,2016,2017,2018,2019,2020,2021
3053,40.0,57.0,63.0,76.0,164.0,188.0
3412,120.0,114.0,134.0,158.0,117.0,112.0
1144,,,2.0,2.0,3.0,
3401,,,,,277.0,485.0
1145,5.0,4.0,13.0,13.0,12.0,10.0
1520,,,,,,185.0
3013,,,,,14.0,17.0
1577,,,,,27.0,32.0
4218,2.0,4.0,10.0,19.0,11.0,15.0
3422,,,,,8.0,17.0
3015,,,,,7.0,15.0
4602,,,,,295.0,399.0
1119,,,,,316.0,352.0
4638,84.0,31.0,76.0,76.0,69.0,54.0
4215,,,,,,
3450,,,25.0,13.0,48.0,30.0
3416,158.0,107.0,142.0,135.0,47.0,155.0
5418,,,,,55.0,9.0
4628,0.0,0.0,0.0,0.0,0.0,74.0
4619,3.0,3.0,5.0,25.0,52.0,23.0
1833,,,,,125.0,248.0
3441,,,,230.0,230.0,230.0
1804,,,,,662.0,674.0
3418,,,,99.0,69.0,108.0
5044,,,,0.0,0.0,0.0
5052,,,,,,7.0
4650,81.0,99.0,149.0,175.0,188.0,288.0
1108,,,,,1362.0,1396.0
3036,29.0,24.0,49.0,30.0,23.0,26.0
3446,427.0,333.0,377.0,274.0,272.0,249.0
1133,16.0,7.0,9.0,38.0,28.0,27.0
3027,138.0,133.0,219.0,163.0,190.0,127.0
1517,,,31.0,25.0,60.0,64.0
3439,,,98.0,192.0,126.0,111.0
4616,23.0,38.0,37.0,67.0,41.0,110.0
5034,,,,,7.0,12.0
5423,61.0,105.0,96.0,104.0,105.0,125.0
3428,102.0,153.0,109.0,101.0,100.0,81.0
3815,104.0,110.0,204.0,141.0,146.0,164.0
5412,,,,,7.0,32.0
3014,,,,,334.0,600.0
3003,463.0,584.0,637.0,689.0,829.0,760.0
3443,93.0,106.0,217.0,159.0,260.0,329.0
3045,64.0,61.0,49.0,26.0,73.0,66.0
3419,,,,21.0,6.0,6.0
1121,280.0,315.0,368.0,412.0,395.0,567.0
4627,,,,177.0,351.0,308.0
1124,,,,,259.0,318.0
3804,,,,,,725.0
3430,54.0,39.0,39.0,14.0,19.0,15.0
3454,0.0,1.0,9.0,6.0,11.0,14.0
4601,,,,,6708.0,7266.0
1103,,,,,4180.0,4328.0
1868,,46.0,65.0,33.0,52.0,30.0
1106,,,,265.0,263.0,165.0
3020,,,,,476.0,773.0
1146,,,,,77.0,75.0
1547,,,6.0,29.0,25.0,26.0
1528,10.0,57.0,105.0,101.0,109.0,121.0
4205,,,,,440.0,614.0
1851,,,,,11.0,50.0
4207,1.0,14.0,63.0,39.0,66.0,51.0
3004,0.0,2093.0,2573.0,2425.0,2250.0,1970.0
3806,,,,339.0,561.0,519.0
5411,20.0,87.0,93.0,100.0,100.0,97.0
4637,31.0,1.0,34.0,41.0,71.0,95.0
5007,,,,,381.0,419.0
1870,106.0,123.0,133.0,160.0,231.0,179.0
1579,,,,,17.0,59.0
3023,176.0,168.0,177.0,129.0,146.0,144.0
3025,,,,,197.0,600.0
5058,,,,,,
4621,,,,,160.0,117.0
5436,,,,,35.0,51.0
3816,238.0,260.0,261.0,447.0,355.0,320.0
3415,0.0,0.0,2.0,22.0,26.0,56.0
1824,,,,,290.0,472.0
3814,130.0,20.0,90.0,115.0,70.0,78.0
4631,,,,,153.0,241.0
3041,,,,,126.0,111.0
5006,,,,,165.0,197.0
3442,,,82.0,123.0,437.0,475.0
3421,,,,,48.0,42.0
3024,,,,1984.0,1642.0,1527.0
3414,,,,,90.0,71.0
5435,,,,30.0,56.0,113.0
4641,,,,,,22.0
5403,,710.0,626.0,708.0,745.0,961.0
3424,,,,24.0,3.0,18.0
5056,,,,,86.0,60.0
1840,,,,,82.0,98.0
5426,118.0,141.0,110.0,89.0,91.0,207.0
3001,,,667.0,414.0,645.0,441.0
5014,,46.0,41.0,73.0,64.0,38.0
1505,,,,,,611.0
1160,,,,100.0,110.0,136.0
3805,,,,,827.0,561.0
3413,70.0,84.0,74.0,131.0,142.0,80.0
1135,62.0,75.0,85.0,97.0,95.0,69.0
4617,,,384.0,431.0,413.0,390.0
1111,139.0,122.0,106.0,100.0,87.0,98.0
1578,,,,,,16.0
1845,2.0,5.0,8.0,2.0,,
4457.0,0.0,0.0,0.0,0.0,0.0,0.0
3049,208.0,300.0,328.0,297.0,361.0,369.0
5430,13.0,22.0,16.0,53.0,40.0,79.0
3002,,,,,955.0,843.0
1839,,,20.0,24.0,27.0,59.0
3048,317.0,316.0,314.0,390.0,262.0,348.0
1576,,,40.0,36.0,19.0,50.0
3825,32.0,39.0,39.0,30.0,41.0,87.0
1573,,,,43.0,40.0,39.0
3811,,,294.0,400.0,342.0,232.0
4624,,,,,444.0,372.0
4618,,,,,1001.0,979.0
3005,,,,,2342.0,2655.0
5425,11.0,11.0,43.0,39.0,21.0,54.0
3449,43.0,58.0,85.0,74.0,118.0,95.0
5001,,,,,1978.0,1566.0
4613,,,,,,87.0
4211,4.0,9.0,9.0,26.0,36.0,29.0
1859,,,,,21.0,7.0
5428,,,,,,
4202,185.0,145.0,243.0,359.0,251.0,428.0
3417,,,,,106.0,69.0
3821,26.0,28.0,50.0,71.0,62.0,88.0
3803,,,,,604.0,580.0
1515,47.0,194.0,186.0,141.0,118.0,326.0
3052,6.0,13.0,11.0,47.0,18.0,10.0
1563,,,,,120.0,129.0
3031,,,,,238.0,268.0
3019,157.0,121.0,199.0,134.0,188.0,349.0
4626,,,,,620.0,773.0
5437,,,,,4.0,1.0
1101,,,,626.0,476.0,601.0
3437,32.0,68.0,106.0,102.0,119.0,72.0
3451,,,,,2.0,6.0
5244.0,,,1.0,1.0,9.0,6.0
3032,,,97.0,70.0,55.0,50.0
3030,,,,,1024.0,1747.0
3028,58.0,78.0,57.0,38.0,47.0,29.0
4201,,,,,10.0,109.0
3050,23.0,26.0,30.0,28.0,22.0,12.0
4212,18.0,33.0,37.0,51.0,14.0,16.0
5041,17.0,27.0,30.0,17.0,20.0,14.0
3007,,,,716.0,669.0,557.0
4227,224.0,216.0,223.0,189.0,132.0,143.0
3017,57.0,73.0,43.0,71.0,77.0,97.0
4649,,,,,126.0,162.0
4220,52.0,84.0,75.0,117.0,95.0,112.0
3051,0.0,0.0,0.0,14.0,17.0,29.0
3018,25.0,38.0,27.0,69.0,54.0,59.0
1813,,,,,131.0,117.0
8920.0,1.0,0.0,2.0,2.0,2.0,1.0
3432,,,27.0,,24.0,
3038,,196.0,304.0,285.0,194.0,207.0
1867,2.0,4.0,0.0,1.0,1.0,0.0
5031,263.0,343.0,430.0,350.0,346.0,299.0
5033,,,,,,6.0
1818,64.0,36.0,48.0,59.0,72.0,73.0
3447,,,,143.0,208.0,161.0
1826,,5.0,29.0,25.0,11.0,60.0
3042,3.0,1.0,2.0,2.0,25.0,9.0
5042,,,0.0,,0.0,3.0
1112,21.0,20.0,38.0,21.0,18.0,13.0
5419,4.0,1.0,2.0,4.0,17.0,12.0
1120,,308.0,410.0,426.0,465.0,537.0
3748.0,,,,,13.0,8.0
8980.0,,,,,0.0,7.0
3012,,,,,2.0,3.0
1835,2.0,2.0,9.0,3.0,7.0,14.0
1875,,,,,,
3040,47.0,87.0,110.0,113.0,22.0,30.0
3660.0,40.0,77.0,49.0,45.0,66.0,67.0
3016,166.0,227.0,243.0,273.0,370.0,156.0
5061,0.0,0.0,0.0,0.0,4.0,15.0
1134,46.0,46.0,144.0,85.0,117.0,261.0
1811,,35.0,21.0,44.0,69.0,122.0
3011,,41.0,36.0,93.0,212.0,28.0
1825,0.0,10.0,9.0,5.0,7.0,9.0
1535,,,,389.0,269.0,216.0
1114,103.0,59.0,67.0,94.0,81.0,0.0
5049,2.0,1.0,0.0,6.0,4.0,24.0
5045,15.0,36.0,29.0,25.0,21.0,16.0
3822,,,,,41.0,65.0
1516,100.0,94.0,78.0,97.0,103.0,100.0
3010.0,,,,103.0,211.0,166.0
4226,6.0,8.0,9.0,8.0,12.0,23.0
1820,18.0,27.0,34.0,45.0,58.0,35.0
5414,7.0,7.0,9.0,13.0,22.0,13.0
1507,,,,,636.0,1168.0
5060,,,,,90.0,152.0
3431,,,,33.0,31.0,47.0
1834,,,,,,36.0
1871,3.0,9.0,11.0,11.0,9.0,14.0
5037,,,,67.0,150.0,190.0
1506,,,,,418.0,569.0
4640,,,,,,117.0
1130,491.0,507.0,564.0,562.0,589.0,559.0
1566,,,,,43.0,77.0
4635,,,,,13.0,16.0
5055,,,,,107.0,52.0
5406,,,,,101.0,108.0
1554,,,,,9.0,17.0
5057,,,,,,427.0
5021,120.0,115.0,114.0,71.0,143.0,25.0
1866,,,,,0.0,2.0
1838,,,,,0.0,40.0
5026,,,,,50.0,29.0
3824,,,,33.0,14.0,20.0
4614,162.0,177.0,275.0,252.0,251.0,196.0
4645,6.0,14.0,30.0,37.0,50.0,62.0
5421,,,,,,98.0
4647,,,,,80.0,346.0
5444,,,,158.0,298.0,294.0
3433,12.0,3.0,17.0,10.0,9.0,8.0
3438,5.0,10.0,19.0,19.0,27.0,31.0
3817,,,,,91.0,270.0
4622,,,,,122.0,180.0
3026,,,,,559.0,604.0
1557,,,,,10.0,11.0
4213,,,,,,133.0
1525,,,,,59.0,60.0
1122,18.0,28.0,14.0,13.0,8.0,9.0
5029,53.0,66.0,47.0,17.0,45.0,48.0
4611,,,,,181.0,215.0
4225,,,,,282.0,398.0
3405,,,,215.0,300.0,330.0
3819,7.0,10.0,5.0,7.0,4.0,1.0
3035,,149.0,179.0,270.0,292.0,178.0
