komnr,2015,2016,2017,2018,2019,2020,2021
3441,29.0,43.0,35.0,40.0,41.0,43.0,39.0
3442,188.0,203.0,194.0,190.0,172.0,161.0,137.0
3443,114.0,115.0,123.0,131.0,111.0,116.0,111.0
3446,91.0,109.0,107.0,107.0,117.0,114.0,126.0
3447,41.0,50.0,46.0,42.0,42.0,43.0,72.0
3448,52.0,55.0,48.0,50.0,55.0,58.0,61.0
3449,36.0,31.0,42.0,49.0,38.0,30.0,37.0
3450,15.0,16.0,17.0,14.0,14.0,9.0,14.0
3451,89.0,97.0,87.0,87.0,82.0,78.0,88.0
3452,16.0,10.0,14.0,14.0,17.0,13.0,22.0
3453,35.0,32.0,32.0,25.0,22.0,29.0,32.0
3454,18.0,13.0,14.0,18.0,19.0,19.0,19.0
3801,184.0,189.0,179.0,162.0,170.0,169.0,171.0
3802,139.0,143.0,145.0,170.0,196.0,187.0,189.0
3803,354.0,386.0,413.0,406.0,446.0,409.0,429.0
3804,340.0,336.0,383.0,363.0,387.0,384.0,380.0
3805,313.0,330.0,337.0,363.0,335.0,330.0,287.0
3806,247.0,252.0,279.0,251.0,270.0,294.0,250.0
3807,340.0,366.0,366.0,385.0,376.0,235.0,349.0
3808,151.0,158.0,152.0,151.0,153.0,142.0,149.0
3811,174.0,155.0,153.0,154.0,151.0,152.0,158.0
3812,5.0,9.0,11.0,8.0,11.0,14.0,13.0
3813,105.0,107.0,114.0,125.0,111.0,117.0,112.0
3814,119.0,126.0,127.0,146.0,157.0,169.0,165.0
3815,31.0,33.0,33.0,25.0,32.0,35.0,29.0
3816,79.0,81.0,90.0,87.0,90.0,76.0,77.0
3817,71.0,56.0,64.0,61.0,63.0,73.0,97.0
3818,52.0,49.0,45.0,47.0,48.0,53.0,52.0
3819,8.0,9.0,9.0,10.0,7.0,,6.0
3820,17.0,23.0,17.0,23.0,24.0,23.0,24.0
3821,14.0,18.0,22.0,22.0,25.0,20.0,14.0
3822,14.0,12.0,8.0,9.0,9.0,15.0,18.0
3823,6.0,7.0,6.0,6.0,12.0,9.0,11.0
3824,22.0,30.0,34.0,36.0,29.0,26.0,29.0
3825,35.0,37.0,32.0,38.0,36.0,32.0,34.0
4201,49.0,43.0,46.0,55.0,54.0,48.0,45.0
4202,165.0,165.0,157.0,183.0,165.0,166.0,171.0
4203,200.0,195.0,249.0,261.0,264.0,254.0,263.0
4204,691.0,740.0,761.0,742.0,782.0,643.0,792.0
4205,123.0,146.0,153.0,164.0,120.0,181.0,182.0
4206,49.0,52.0,65.0,93.0,107.0,118.0,117.0
4207,51.0,72.0,76.0,84.0,90.0,97.0,102.0
4211,18.0,22.0,19.0,22.0,22.0,18.0,18.0
4212,11.0,15.0,16.0,20.0,16.0,14.0,13.0
4213,33.0,34.0,46.0,49.0,53.0,51.0,62.0
4214,33.0,31.0,30.0,29.0,29.0,39.0,38.0
4215,59.0,58.0,57.0,55.0,55.0,61.0,63.0
4216,22.0,31.0,36.0,39.0,51.0,52.0,47.0
4217,7.0,6.0,8.0,10.0,7.0,9.0,9.0
4218,5.0,5.0,15.0,13.0,12.0,10.0,8.0
4219,29.0,34.0,33.0,26.0,27.0,24.0,23.0
4220,13.0,14.0,10.0,11.0,11.0,14.0,15.0
4221,7.0,11.0,6.0,9.0,11.0,12.0,12.0
4222,,,,,,,
4223,97.0,100.0,93.0,102.0,109.0,100.0,102.0
4224,15.0,14.0,12.0,13.0,11.0,11.0,13.0
4225,80.0,92.0,93.0,92.0,85.0,91.0,71.0
4226,9.0,9.0,8.0,11.0,12.0,17.0,20.0
4227,67.0,59.0,60.0,58.0,58.0,53.0,60.0
4228,12.0,16.0,20.0,17.0,16.0,17.0,9.0
4601,1336.0,1469.0,1537.0,1612.0,1629.0,1720.0,1830.0
4602,137.0,144.0,145.0,163.0,155.0,134.0,132.0
4611,11.0,14.0,14.0,15.0,28.0,33.0,30.0
4612,32.0,27.0,29.0,28.0,28.0,29.0,31.0
4613,66.0,74.0,78.0,71.0,73.0,66.0,65.0
4614,161.0,183.0,196.0,199.0,184.0,125.0,213.0
4615,18.0,14.0,18.0,23.0,24.0,21.0,21.0
4616,15.0,15.0,19.0,17.0,18.0,16.0,17.0
4617,156.0,152.0,148.0,162.0,150.0,140.0,139.0
4618,87.0,98.0,98.0,105.0,109.0,114.0,121.0
4619,6.0,5.0,7.0,,,,
4620,9.0,8.0,10.0,9.0,9.0,9.0,9.0
4621,106.0,96.0,107.0,121.0,130.0,125.0,142.0
4622,82.0,84.0,78.0,82.0,79.0,85.0,87.0
4623,19.0,16.0,14.0,17.0,23.0,22.0,25.0
4624,200.0,220.0,243.0,244.0,256.0,263.0,242.0
4625,25.0,31.0,32.0,31.0,33.0,37.0,42.0
4626,173.0,183.0,184.0,190.0,184.0,214.0,231.0
4627,134.0,126.0,132.0,128.0,134.0,139.0,149.0
4628,30.0,33.0,33.0,34.0,31.0,28.0,25.0
4629,,,,,,,
4630,79.0,73.0,69.0,67.0,68.0,66.0,79.0
4631,181.0,197.0,212.0,216.0,222.0,222.0,211.0
4632,10.0,10.0,8.0,13.0,13.0,19.0,17.0
4633,5.0,8.0,9.0,7.0,9.0,5.0,
4634,10.0,9.0,7.0,9.0,5.0,9.0,6.0
4635,19.0,17.0,19.0,23.0,16.0,23.0,18.0
4636,,,,,,,
4637,8.0,7.0,8.0,9.0,10.0,11.0,9.0
4638,14.0,16.0,19.0,18.0,22.0,25.0,23.0
4639,22.0,22.0,14.0,18.0,24.0,21.0,26.0
