komnr,2015,2016,2017,2018,2019,2020,2021
3801,54.4,57.3,56.0,61.7,61.3,71.4,74.3
3802,50.7,42.9,50.6,54.0,57.1,49.4,59.2
3803,107.0,108.1,119.5,105.7,128.5,129.9,132.6
3804,119.8,128.5,135.9,139.9,153.6,153.9,142.7
3805,99.6,103.2,108.6,109.2,104.6,111.9,108.8
3806,63.3,65.3,62.0,63.2,67.5,74.7,71.4
3807,110.8,107.9,129.1,129.6,124.6,133.5,138.0
3808,37.5,37.6,36.7,40.6,41.9,40.2,36.0
3811,59.2,60.8,73.8,66.7,69.8,75.5,69.6
3812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3813,28.5,31.7,40.0,34.6,41.1,37.6,41.5
3814,25.3,26.7,32.4,28.0,35.2,33.2,30.7
3815,10.6,11.2,10.7,11.7,14.7,16.5,14.1
3816,16.6,16.9,17.5,17.7,19.5,18.8,14.9
3817,19.7,20.3,18.4,17.3,20.2,19.4,20.3
3818,19.2,17.6,26.2,24.3,22.4,20.6,18.9
3819,4.6,3.9,4.4,5.0,4.4,4.8,4.0
3820,7.7,5.6,7.7,8.1,7.5,6.9,7.4
3821,5.6,4.8,5.0,4.7,6.0,5.0,8.1
3822,4.3,5.1,5.2,4.9,5.0,3.8,4.4
3823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3824,4.4,4.4,4.4,4.3,6.6,8.4,6.0
3825,13.3,15.0,14.6,13.4,11.4,13.8,18.1
4201,14.0,22.0,17.8,20.4,22.0,23.3,25.7
4202,66.8,73.0,70.4,70.8,76.5,77.0,82.8
4203,95.6,99.8,112.6,120.4,131.5,133.6,126.1
4204,183.8,204.1,222.0,228.9,248.5,265.3,266.9
4205,73.8,80.8,67.4,69.5,76.5,81.1,82.3
4206,32.9,32.2,30.4,31.1,37.3,35.6,40.4
4207,16.7,21.7,22.8,26.3,23.9,23.1,20.6
4211,7.8,6.7,9.5,8.9,9.0,9.2,9.3
4212,8.2,7.2,8.3,1.0,9.3,9.1,7.9
4213,20.6,19.5,22.0,24.3,27.3,26.7,24.4
4214,12.4,12.1,10.6,9.8,9.3,10.2,10.4
4215,20.7,18.8,21.9,24.7,25.4,27.9,28.6
4216,10.5,9.0,9.3,8.0,8.2,9.2,10.9
4217,10.9,4.7,5.5,4.8,5.5,7.1,5.7
4218,0.0,3.7,3.3,6.8,4.1,4.5,4.1
4219,6.6,7.6,7.5,8.1,6.9,9.7,9.6
4220,4.0,3.3,3.8,3.8,4.3,3.5,5.0
4221,4.4,2.1,3.6,1.8,1.7,2.2,2.1
4222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4223,24.0,28.1,21.8,20.2,22.3,23.5,25.3
4224,3.2,3.2,3.6,4.2,4.2,4.6,4.6
4225,29.5,29.6,27.2,25.1,31.6,33.2,23.1
4226,5.7,5.5,5.4,7.1,5.4,8.0,8.6
4227,22.6,23.3,27.9,29.5,23.7,27.2,27.3
4228,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4601,397.0,420.1,441.2,422.5,448.6,450.0,458.3
4602,59.3,57.0,58.1,63.6,61.7,52.6,54.6
4611,7.5,10.2,10.3,7.8,8.2,10.0,14.4
4612,16.3,17.3,18.0,15.2,16.3,18.9,18.1
4613,21.7,18.3,19.5,18.8,21.2,18.7,16.1
4614,34.3,38.9,43.1,36.2,50.2,48.8,49.7
4615,6.5,9.3,10.3,9.9,9.3,8.2,8.1
4616,7.1,4.5,6.6,5.6,4.1,5.9,8.2
4617,47.1,45.8,41.7,47.9,39.2,47.6,54.1
4618,23.2,26.1,25.2,22.9,26.8,42.5,40.1
4619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4620,2.0,1.6,0.0,0.0,2.8,2.2,2.5
4621,29.5,27.6,28.5,29.8,36.2,36.4,30.9
4622,15.8,15.4,16.3,22.3,21.8,20.9,20.7
4623,6.1,5.9,6.4,6.6,7.2,6.6,7.0
4624,53.6,65.8,73.2,76.8,75.5,93.5,97.7
