komnr,2016,2017,2018,2019,2020,2021
3811,,,604.0,892.0,765.0,716.0
4624,,,,,488.0,392.0
4618,,,,,1524.0,1342.0
3005,,,,,5056.0,5642.0
5425,23.0,65.0,74.0,60.0,45.0,112.0
3449,253.0,238.0,309.0,330.0,375.0,608.0
5001,,,,,5161.0,4990.0
4613,346.0,347.0,354.0,271.0,211.0,218.0
4211,14.0,43.0,34.0,72.0,59.0,62.0
1859,,,,,202.0,113.0
5428,,,,,,
4202,265.0,229.0,367.0,640.0,535.0,719.0
3417,,,,,283.0,203.0
3821,36.0,44.0,75.0,119.0,115.0,159.0
3803,,,,,1420.0,1259.0
1515,69.0,321.0,270.0,237.0,184.0,468.0
3052,19.0,41.0,35.0,72.0,27.0,21.0
1563,147.0,166.0,280.0,313.0,443.0,245.0
3031,,,,,597.0,365.0
3019,201.0,358.0,455.0,331.0,264.0,411.0
4626,,,,,2992.0,2741.0
5437,,,,,12.0,3.0
1101,,,,1199.0,1115.0,1313.0
3437,89.0,128.0,183.0,198.0,279.0,142.0
3451,,,144.0,149.0,150.0,191.0
5244.0,,,91.0,51.0,61.0,65.0
3032,,,153.0,108.0,109.0,121.0
3030,,,,,1613.0,2510.0
3028,202.0,270.0,204.0,114.0,113.0,89.0
4201,,,,,8.0,485.0
3050,,55.0,69.0,66.0,53.0,22.0
4212,22.0,39.0,55.0,70.0,28.0,24.0
5041,49.0,75.0,122.0,115.0,102.0,88.0
3007,,,,1348.0,1278.0,1144.0
4227,477.0,439.0,445.0,408.0,281.0,494.0
3017,141.0,163.0,126.0,168.0,137.0,170.0
4649,,,,,292.0,330.0
4220,79.0,131.0,225.0,293.0,222.0,247.0
3051,0.0,0.0,0.0,59.0,61.0,71.0
3018,,,,77.0,60.0,76.0
1813,,,,,240.0,314.0
8920.0,27.0,10.0,36.0,45.0,43.0,46.0
3432,,28.0,,,28.0,
3038,,1041.0,899.0,796.0,442.0,541.0
1867,13.0,12.0,4.0,3.0,2.0,4.0
5031,433.0,569.0,608.0,613.0,534.0,413.0
5033,,,,,,10.0
1818,127.0,142.0,164.0,171.0,217.0,219.0
3447,,,,161.0,269.0,368.0
1826,,5.0,48.0,50.0,22.0,98.0
3042,8.0,10.0,5.0,8.0,29.0,10.0
5042,,11.0,12.0,13.0,15.0,15.0
1112,51.0,29.0,51.0,54.0,51.0,31.0
5419,,23.0,72.0,57.0,68.0,49.0
1120,,905.0,821.0,948.0,1146.0,1283.0
3748.0,,,,,13.0,9.0
8980.0,,,,,0.0,10.0
3012,,,,,7.0,8.0
1835,4.0,4.0,17.0,6.0,24.0,41.0
1875,,,,,43.0,52.0
3040,13.0,18.0,28.0,44.0,20.0,31.0
3660.0,90.0,121.0,117.0,91.0,140.0,130.0
3016,266.0,305.0,341.0,351.0,478.0,331.0
5061,61.0,27.0,42.0,44.0,145.0,123.0
1134,86.0,118.0,267.0,252.0,247.0,513.0
1811,,87.0,63.0,92.0,230.0,274.0
3011,,52.0,47.0,99.0,228.0,37.0
1825,2.0,100.0,114.0,113.0,116.0,249.0
1535,,,,1005.0,729.0,493.0
1114,107.0,64.0,68.0,94.0,87.0,87.0
5049,3.0,1.0,1.0,28.0,18.0,46.0
5045,,,,,3.0,7.0
3822,,,,,135.0,150.0
1516,133.0,129.0,108.0,155.0,163.0,165.0
3010.0,549.0,400.0,167.0,200.0,329.0,290.0
4226,21.0,21.0,20.0,41.0,55.0,104.0
1820,240.0,339.0,340.0,376.0,184.0,189.0
5414,7.0,15.0,14.0,16.0,25.0,
1507,,,,,1210.0,1834.0
5060,,,,,335.0,364.0
3431,,,,60.0,51.0,47.0
1834,,,,,,65.0
1871,8.0,24.0,20.0,26.0,16.0,35.0
5037,184.0,518.0,456.0,424.0,603.0,1154.0
1506,,,,,1039.0,1449.0
4640,,,,,,266.0
1130,1182.0,1397.0,1299.0,1444.0,1524.0,1561.0
1566,,,,,197.0,194.0
4635,,,,,49.0,59.0
5055,,,,,200.0,70.0
5406,,,,,164.0,265.0
1554,,,,,12.0,92.0
5057,,,,,,515.0
5021,233.0,199.0,175.0,92.0,188.0,40.0
1866,,,,,79.0,142.0
1838,,,,,48.0,58.0
5026,,,,,114.0,53.0
3824,,,,67.0,79.0,169.0
4614,413.0,410.0,558.0,575.0,620.0,542.0
4645,20.0,35.0,69.0,138.0,153.0,128.0
5421,,,,,,217.0
4647,,,,,549.0,643.0
5444,,,,444.0,668.0,713.0
3433,20.0,6.0,37.0,83.0,49.0,22.0
3438,12.0,17.0,33.0,32.0,57.0,70.0
3817,,,,,352.0,724.0
4622,,,,,103.0,232.0
3026,,,,,1211.0,1502.0
1557,,,,,90.0,251.0
4213,,,,,,221.0
1525,,,,,136.0,123.0
1122,159.0,173.0,183.0,124.0,149.0,135.0
5029,73.0,91.0,84.0,43.0,77.0,56.0
4611,,,,,486.0,593.0
4225,,,,,634.0,728.0
3405,,,,684.0,514.0,706.0
3819,9.0,16.0,9.0,9.0,10.0,2.0
3035,,715.0,828.0,869.0,849.0,799.0
