komnr,2015,2016,2017,2018,2019,2020,2021
5036,74.0,76.0,76.0,77.0,85.0,88.0,97.0
5037,449.0,491.0,507.0,536.0,552.0,602.0,669.0
5038,336.0,364.0,397.0,398.0,396.0,398.0,417.0
5041,81.0,72.0,67.0,68.0,65.0,61.0,55.0
5042,36.0,35.0,46.0,38.0,53.0,52.0,48.0
5043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5044,20.0,22.0,31.0,34.0,25.0,25.0,22.0
5045,123.0,101.0,86.0,79.0,72.0,73.0,68.0
5046,57.0,49.0,55.0,60.0,57.0,63.0,59.0
5047,90.0,89.0,90.0,94.0,98.0,98.0,88.0
5049,13.0,13.0,13.0,10.0,10.0,8.0,9.0
5052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5053,217.0,208.0,203.0,192.0,179.0,189.0,203.0
5054,272.0,307.0,307.0,280.0,280.0,296.0,298.0
5055,0.0,0.0,0.0,0.0,0.0,226.0,233.0
5056,0.0,0.0,0.0,0.0,0.0,138.0,138.0
5057,248.0,239.0,271.0,176.0,269.0,271.0,303.0
5058,114.0,105.0,109.0,119.0,139.0,139.0,129.0
5059,0.0,0.0,0.0,0.0,0.0,362.0,425.0
5060,291.0,295.0,279.0,265.0,264.0,236.0,263.0
5061,63.0,67.0,58.0,64.0,62.0,57.0,69.0
5401,1270.0,1238.0,1343.0,1352.0,1363.0,1338.0,1420.0
5402,718.0,687.0,680.0,679.0,654.0,648.0,655.0
5403,390.0,415.0,452.0,474.0,460.0,501.0,538.0
5404,42.0,36.0,32.0,31.0,36.0,38.0,40.0
5405,134.0,145.0,169.0,171.0,179.0,187.0,186.0
5406,257.0,256.0,243.0,250.0,275.0,268.0,248.0
5411,137.0,132.0,126.0,127.0,122.0,118.0,110.0
5412,121.0,141.0,129.0,125.0,139.0,150.0,139.0
5413,47.0,48.0,52.0,48.0,49.0,49.0,69.0
5414,46.0,42.0,40.0,42.0,38.0,36.0,37.0
5415,32.0,38.0,37.0,36.0,36.0,41.0,33.0
5416,83.0,93.0,82.0,85.0,98.0,91.0,91.0
5417,46.0,42.0,48.0,66.0,63.0,74.0,65.0
5418,189.0,242.0,196.0,203.0,215.0,206.0,196.0
5419,68.0,59.0,59.0,62.0,66.0,70.0,74.0
5420,46.0,39.0,39.0,39.0,42.0,39.0,37.0
5421,409.0,371.0,360.0,349.0,356.0,377.0,397.0
5422,232.0,231.0,229.0,214.0,207.0,225.0,247.0
5423,71.0,72.0,80.0,71.0,71.0,60.0,65.0
5424,85.0,89.0,94.0,94.0,90.0,94.0,99.0
5425,48.0,57.0,65.0,69.0,64.0,76.0,70.0
5426,66.0,77.0,83.0,89.0,73.0,82.0,80.0
5427,96.0,108.0,108.0,113.0,122.0,112.0,102.0
5428,118.0,107.0,129.0,115.0,99.0,104.0,97.0
5429,36.0,13.0,29.0,38.0,42.0,45.0,51.0
5430,65.0,76.0,71.0,78.0,66.0,73.0,72.0
5432,24.0,18.0,15.0,17.0,0.0,5.0,7.0
5433,20.0,24.0,26.0,20.0,23.0,5.0,0.0
5434,39.0,36.0,49.0,51.0,50.0,46.0,35.0
5435,79.0,86.0,83.0,85.0,88.0,76.0,82.0
5436,98.0,108.0,105.0,99.0,105.0,111.0,114.0
5437,94.0,98.0,92.0,103.0,102.0,93.0,88.0
5438,72.0,72.0,70.0,68.0,62.0,58.0,56.0
5439,9.0,9.0,9.0,8.0,9.0,14.0,13.0
5440,31.0,33.0,7.0,29.0,29.0,31.0,32.0
5441,89.0,91.0,90.0,98.0,90.0,98.0,101.0
5442,28.0,25.0,13.0,8.0,22.0,21.0,11.0
5443,60.0,65.0,65.0,63.0,51.0,31.0,43.0
5444,262.0,284.0,238.0,230.0,228.0,226.0,229.0
