komnr,2015,2016,2017,2018,2019,2020,2021
4220,11.71,6.11,5.4,6.5,6.3,13.6,10.9
4221,10.53,8.05,8.8,7.4,7.8,7.5,11.1
4222,15.34,12.22,9.9,10.4,8.0,9.2,10.0
4223,7.84,7.92,7.4,7.6,7.3,7.2,6.9
4224,4.46,4.82,5.0,4.7,5.5,5.9,9.5
4225,24.020000000000003,24.49,27.2,24.3,26.3,19.1,12.5
4226,6.43,8.33,6.8,8.2,8.9,8.1,9.2
4227,11.68,11.11,11.8,11.3,12.2,12.9,12.2
4228,6.71,5.64,6.7,6.7,7.7,8.4,5.4
1101,13.59,14.39,14.2,13.1,12.7,12.7,11.1
1108,22.54,22.42,22.6,22.5,23.0,10.7,10.4
1103,24.42,24.57,20.9,28.6,28.3,9.6,7.8
1106,12.58,13.5,14.2,14.9,15.6,15.5,15.1
1111,12.24,13.21,10.0,10.2,9.9,10.9,11.2
1112,4.03,5.45,6.6,5.2,5.3,5.1,6.7
1114,2.82,2.74,4.3,4.2,3.1,3.2,3.3
1119,10.11,9.78,11.3,12.0,11.5,11.5,11.2
1120,13.02,10.88,12.7,12.3,13.4,11.6,10.2
1121,10.47,10.73,11.3,12.5,11.2,11.8,10.9
1122,11.18,10.92,12.1,11.3,11.8,11.0,11.3
1124,9.99,10.09,10.1,10.1,9.3,9.3,9.5
1127,14.87,13.78,14.5,15.2,15.2,16.5,14.8
1130,16.1,15.7,13.7,13.2,11.2,12.3,14.3
1133,4.66,4.52,4.8,4.6,3.9,3.9,3.6
1134,11.12,12.28,13.5,13.5,13.2,11.9,11.0
1135,16.82,30.74,15.3,15.4,14.8,14.7,14.1
1144,1.12,1.19,1.0,1.2,1.1,1.8,1.6
1145,7.05,6.25,8.3,8.9,11.2,11.2,11.3
1146,18.56,16.16,15.8,15.9,17.4,18.5,18.1
1149,12.14,13.25,14.0,14.6,14.4,14.7,15.1
1151,0.0,0.0,0.2,0.8,1.5,2.0,2.0
1160,12.23,10.13,12.2,12.4,11.4,12.9,13.3
4601,10.77,11.33,11.7,12.0,12.1,12.0,12.7
4602,24.29,23.1,22.299999999999997,21.9,19.7,9.8,8.6
4611,12.87,9.25,8.3,9.5,8.2,9.8,10.7
4612,12.19,11.31,12.1,11.7,11.7,11.5,11.5
4613,12.26,13.31,14.4,13.4,13.1,13.7,11.5
4614,14.73,15.43,15.3,15.6,14.7,13.4,12.9
4615,13.3,9.9,9.6,14.5,15.0,13.5,10.8
4616,9.51,10.13,11.5,11.6,10.9,11.8,10.1
4617,11.86,12.54,13.0,13.8,14.6,14.2,13.3
4618,29.919999999999998,30.64,29.7,30.9,29.299999999999997,8.9,9.6
4619,5.98,5.66,5.7,5.5,3.3,3.2,3.4
4620,5.37,5.03,8.9,8.4,4.5,3.0,2.2
4621,17.080000000000002,15.829999999999998,15.600000000000001,9.0,9.2,10.0,10.5
4622,11.04,10.5,12.4,10.8,10.6,11.3,11.4
4623,7.07,7.68,7.6,7.0,7.5,5.8,9.3
4624,31.95,27.71,28.299999999999997,29.4,24.6,12.3,14.8
4625,7.79,10.6,9.1,9.2,8.4,8.2,7.3
4626,32.37,29.4,31.1,29.3,30.4,10.0,10.7
4627,12.2,11.23,10.5,10.1,10.0,10.4,11.1
4628,9.74,9.11,9.2,8.6,8.5,7.5,9.5
4629,7.44,6.89,10.3,11.5,5.9,6.9,5.1
4630,13.12,9.68,9.5,9.4,9.5,13.4,14.3
4631,41.8,40.3,39.199999999999996,34.7,31.200000000000003,11.7,14.5
4632,8.79,12.54,14.6,17.1,15.5,13.9,9.1
4633,2.05,3.42,3.2,3.0,3.9,5.3,3.7
4634,6.09,5.06,6.1,6.8,6.5,7.0,12.9
4635,11.32,12.46,10.8,11.1,9.7,9.3,10.2
4636,9.36,8.73,8.2,9.0,7.7,5.8,4.8
