komnr,Befolkning 2020,2012,2013,2014,2015,2016,2017,2018,2019,2020
3012,1325,210636.0,225964.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3013,3595,2712996.0,2925266.5,2642018.4,8652643.12,5098428.0,5534530.0,1610097.0,345709,1401588.0
3014,44792,1269816.0,14311236.01,7530448.16,11854899.66,12336904.0,15862709.0,33041832.0,20165355,9022259.0
3015,3805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3016,8255,3455071.0,2288516.0,2009146.0,4911592.0,4402484.0,5400779.0,3555834.0,927038,2757428.0
3017,7508,2164264.0,3261577.0,1942724.0,1310444.0,4703335.0,8153261.0,3752095.0,3941391,2636052.0
3018,5736,434294.0,211400.0,1715512.0,366314.0,594329.0,59876.0,186430.0,2305312,806607.0
3019,18042,1398656.0,744593.0,1100484.0,1517276.0,2084551.0,4473317.0,5933245.0,6016664,5508347.0
3020,59288,1522266.0,5175508.45,5205469.44,3511008.56,6344000.0,17285000.0,7754542.0,6609325,7048670.0
3021,20439,8650654.22,11682158.34,10240018.07,15700984.98,5469863.0,2313087.0,2974840.0,2962066,0.0
3022,15877,3599713.0,2858133.0,6965435.0,6773604.0,8396817.0,6082755.0,8822578.0,9111103,13767689.0
3023,19616,323320.0,659405.0,474671.0,209446.0,922848.0,436705.0,1947716.0,3934639,6374269.0
3024,127731,2599000.0,11981000.0,20816000.0,21711000.0,10745820.0,17484437.0,9545039.0,8458022,50400000.0
3025,94441,12085728.0,20978395.0,12542529.0,10670252.0,10066563.0,17491901.0,23151711.0,24655312,16549000.0
3026,17390,0.0,4456000.0,4012000.0,4158000.0,5385222.0,10104070.0,11375475.0,7329148,862352.0
3027,18530,1086808.0,1612661.0,3425837.0,9922753.0,13553832.0,14737223.0,15880921.0,14895026,20555992.0
3028,11110,238959.0,134212.0,424577.0,615747.0,1190197.0,1965853.0,4706151.0,711638,4955831.0
3029,41460,376000.0,171000.0,850000.0,576000.0,512934.0,2558260.0,4595659.0,4595659,2617378.0
3030,85983,5669736.68,14367606.350000003,9980831.06,7734981.039999999,5080081.0,9637268.0,9322220.0,11816882,5680421.0
3031,24249,2225587.27,8910136.49,8466730.33,7977366.0,8126330.0,9106112.0,7019454.0,2228482,4663647.0
3032,6890,2675247.0,5566103.0,5518518.0,2574920.0,934783.0,898147.0,1681813.0,327285,1684082.0
3033,39625,3003235.65,2819624.25,2791199.46,1966857.58,1064954.0,7246813.0,9434109.0,3289685,3530961.0
3034,23092,2272606.15,8927098.97,9445747.95,5752547.35,5409715.0,9526727.0,258495.0,90162,270759.0
3035,25436,15364297.61,16201047.43,11385903.32,5878449.25,4185417.0,12369070.0,26409794.0,26422636,13608007.0
3036,14139,3069512.0,3017361.56,2560708.28,3538295.77,7198484.0,5269531.0,565218.0,692338,1526680.0
3037,2854,3622644.0,2745127.0,651238.0,3424521.0,2153551.0,905669.0,2897921.0,2859114,963743.0
3038,6799,829000.0,466000.0,231000.0,937000.0,771091.0,447137.0,0.0,0,0.0
3039,1050,832366.0,1326893.0,668312.0,303509.0,233556.0,653696.0,1057204.0,421086,781678.0
3040,3273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781000,0.0
3041,4608,2415859.0,1589415.0,758384.0,2219670.0,3588300.0,6363000.0,4976268.0,7666512,9764694.0
3042,2486,0.0,0.0,0.0,106000.0,0.0,0.0,0.0,0,0.0
3043,4674,2912878.0,4175235.0,2674348.0,1691729.0,2314014.0,5683620.0,5839079.0,7656919,12977394.0
3044,4441,1448972.0,5923992.0,6214825.0,2636986.0,4175263.0,4721238.0,11172703.0,6355443,10393920.0
3045,3467,0.0,0.0,0.0,0.0,164027.0,243515.0,841119.0,925244,3017426.0
3046,2212,0.0,0.0,0.0,1282228.5,203575.0,0.0,216058.0,0,935677.0
3047,14115,0.0,284461.0,360984.0,491273.0,0.0,0.0,0.0,0,0.0
3048,19423,481400.0,419941.0,1544687.0,1621993.0,0.0,0.0,0.0,0,0.0
3049,26811,1267348.0,490918.0,109801.0,128465.0,0.0,0.0,0.0,0,0.0
3050,2688,1306890.0,719322.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3051,1390,0.0,0.0,0.0,0.0,40000.0,48000.0,0.0,0,0.0
3052,2439,0.0,2796855.0,6142598.0,4685000.0,11083000.0,9648000.0,7081707.0,2724875,2363586.97
3053,6852,213241.0,207334.0,290527.0,252355.0,390415.0,840048.0,464659.0,198456,368048.0
3054,9048,46523.0,0.0,0.0,0.0,0.0,114372.0,592623.0,0,169743.0
3401,17829,0.0,0.0,0.0,0.0,202600.0,516400.0,3284644.0,4961541,3012167.0
3403,31369,218764.0,420915.0,111346.0,2761713.0,4439800.0,4685324.0,6192598.0,2920994,1199901.0
3405,28345,4648770.0,1352938.0,2837632.0,923827.0,3723634.0,10762519.0,41383765.0,28219296,12712381.0
3407,30560,145469.0,0.0,0.0,397532.0,337840.0,442345.0,0.0,0,0.0
3411,34768,203492.0,0.0,959821.0,422121.0,190975.0,2072042.0,2793897.0,5700000,0.0
3412,7674,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3413,21064,0.0,610522.0,0.0,0.0,0.0,0.0,0.0,32000,0.0
3414,5016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3415,7905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3416,6106,638883.5,623752.52,0.0,0.0,6490269.0,8709023.0,0.0,0,0.0
3417,4612,340000.0,675000.0,65000.0,508000.0,123917.0,190525.0,0.0,0,0.0
3418,7203,3876017.0,3666314.0,2511794.0,1633044.0,0.0,0.0,0.0,0,0.0
