komnr,2015,2016,2017,2018,2019,2020,2021
3453,45.0,43.0,41.0,42.0,43.0,42.0,39.0
3454,35.0,35.0,34.0,35.0,35.0,35.0,35.0
3801,197.0,197.0,193.0,189.0,188.0,186.0,185.0
3802,145.0,138.0,135.0,140.0,134.0,135.0,136.0
3803,394.0,394.0,394.0,414.0,410.0,406.0,404.0
3804,391.0,387.0,385.0,384.0,384.0,387.0,388.0
3805,407.0,400.0,400.0,408.0,408.0,408.0,414.0
3806,315.0,319.0,304.0,305.0,306.0,306.0,305.0
3807,373.0,373.0,378.0,386.0,386.0,389.0,391.0
3808,65.0,63.0,68.7,65.7,65.0,66.0,65.0
3811,212.0,213.0,213.0,216.0,216.0,216.0,216.0
3812,20.0,20.0,24.0,24.0,24.0,24.0,22.0
3813,58.0,60.0,59.0,59.0,59.0,60.0,60.0
3814,45.0,42.0,42.0,42.0,42.0,43.0,43.0
3815,39.0,36.0,40.0,35.0,34.0,38.0,38.0
3816,73.0,76.0,74.0,74.0,74.0,74.0,74.0
3817,94.0,99.0,101.0,109.0,112.0,106.0,85.0
3818,75.0,75.0,75.0,70.0,71.0,70.0,62.0
3819,28.0,28.0,28.3,23.3,22.0,26.0,26.0
3820,28.0,28.0,28.0,30.0,30.0,30.0,31.0
3821,40.0,40.0,40.0,40.0,41.0,41.0,41.0
3822,20.0,20.0,20.0,20.0,19.8,20.0,20.0
3823,20.0,20.0,20.0,20.0,20.0,20.0,20.0
3824,35.0,35.0,28.0,28.0,30.0,27.0,28.0
3825,39.0,39.0,37.0,32.0,32.0,33.0,32.0
4201,62.0,62.0,62.0,62.0,63.0,62.0,74.0
4202,110.0,110.0,112.0,112.0,136.0,110.0,110.0
4203,290.0,296.0,292.0,292.0,290.2,335.0,334.5
4204,708.0,715.0,715.0,703.0,705.0,705.0,705.0
4205,168.0,169.0,167.0,157.0,152.0,152.0,159.0
4206,71.0,72.0,71.0,43.0,44.0,44.0,44.0
4207,78.0,89.0,92.0,93.0,89.0,89.0,89.0
4211,32.0,20.0,20.0,20.0,20.0,20.0,15.0
4212,22.0,24.0,24.0,26.0,26.0,16.0,16.0
4213,46.0,43.0,46.0,46.0,47.0,46.0,46.0
4214,36.0,36.0,36.0,39.0,38.0,38.0,37.5
4215,60.0,63.0,59.0,63.0,64.0,63.0,62.0
4216,39.0,31.0,32.0,32.0,24.0,24.0,24.0
4217,18.0,18.0,15.0,15.0,15.0,11.0,15.0
4218,19.0,20.0,11.0,11.0,11.0,11.0,10.0
4219,33.0,33.0,30.0,31.0,30.0,35.0,37.0
4220,15.0,28.0,16.0,15.0,16.0,28.0,28.0
4221,20.0,20.0,18.0,20.0,15.0,18.0,18.0
4222,10.0,10.0,10.0,,14.0,14.0,14.0
4223,91.0,92.0,91.0,92.0,92.0,92.0,92.0
4224,14.0,10.0,10.0,10.0,7.0,6.0,6.0
4225,78.0,78.0,76.0,76.0,77.0,78.0,78.0
4226,24.0,24.0,24.0,23.0,23.0,20.0,20.0
4227,40.0,37.0,39.0,36.0,36.0,36.0,36.0
4228,39.0,39.0,39.0,41.0,39.0,39.0,39.0
4601,2301.0,2308.0,2316.0,2336.0,2410.0,2502.0,2475.0
4602,136.0,134.0,134.0,134.0,132.0,135.0,143.0
4611,44.0,43.0,35.0,30.0,32.6,33.0,33.0
4612,49.0,49.0,45.0,47.0,47.7,47.7,47.7
4613,112.0,112.0,113.7,112.7,100.5,100.5,104.0
4614,78.0,86.0,88.8,86.8,100.0,92.0,93.0
4615,30.0,25.0,22.5,19.5,19.5,29.5,30.0
4616,39.0,38.0,29.0,29.0,29.0,29.0,29.0
4617,102.0,103.0,99.0,121.0,124.0,124.0,122.0
4618,150.0,147.0,146.0,131.0,134.0,133.0,106.0
4619,24.0,24.0,18.0,18.0,20.0,20.0,20.0
4620,21.0,18.0,18.0,18.0,18.0,18.0,18.0
4621,190.0,187.0,187.0,189.0,187.0,187.0,193.0
4622,68.0,68.0,67.0,72.0,72.0,72.0,72.0
4623,27.0,22.0,21.0,29.0,30.0,29.0,29.0
4624,90.0,95.0,86.0,95.0,113.0,114.0,114.0
4625,52.0,51.0,51.0,51.0,51.0,51.0,51.0
4626,152.0,144.0,146.0,146.0,175.0,160.0,175.0
4627,165.0,166.0,166.0,170.0,171.0,171.0,159.0
4628,67.0,50.0,72.0,72.0,72.0,72.0,72.0
4629,12.0,16.0,16.0,16.0,16.0,16.0,15.0
4630,67.0,67.0,66.0,66.0,58.0,57.0,56.0
4631,204.0,187.0,180.0,188.0,183.0,181.0,183.0
4632,34.0,34.0,34.0,28.0,28.0,28.0,28.0
4633,12.0,12.0,12.0,12.0,12.0,12.0,12.0
4634,34.0,32.0,31.0,31.0,31.0,31.0,31.0
4635,33.0,33.0,32.0,26.0,31.0,31.0,31.0
4636,18.0,18.0,20.0,19.0,19.0,19.0,19.0
4637,22.0,22.0,22.0,22.0,22.0,22.0,22.0
4638,64.0,64.0,64.0,64.0,64.0,65.0,64.0
4639,51.0,51.0,48.0,43.0,44.0,45.0,44.0
4640,98.0,116.0,95.0,102.0,109.0,112.0,114.0
4641,27.0,27.0,24.0,24.0,24.0,24.0,24.0
4642,29.0,29.0,29.0,29.0,29.0,29.0,29.0
4643,59.0,59.0,59.0,59.0,59.0,59.0,59.0
4644,70.0,70.0,43.0,43.0,43.0,43.0,43.0
4645,29.0,29.0,29.0,29.0,28.0,28.0,28.0
4646,39.0,42.0,39.0,39.0,39.0,39.0,42.0
4647,135.0,143.0,143.0,141.0,143.0,144.0,140.0
4648,60.0,81.0,79.0,79.0,79.0,79.0,79.0
4649,95.0,97.0,108.0,86.0,86.0,86.0,86.0
4650,20.0,22.0,20.0,22.0,20.0,20.0,22.0
4651,86.0,63.0,63.0,63.0,63.0,63.0,57.0
5001,1452.0,1425.0,1478.0,1450.0,1499.0,1477.0,1501.0
5006,172.0,184.0,173.0,169.0,180.0,189.0,177.0
5007,131.1,131.1,137.1,144.0,138.0,137.0,137.0
5014,57.0,57.0,57.0,57.0,58.0,57.0,57.0
5020,15.0,15.0,15.0,15.0,14.0,15.0,15.0
5021,59.0,59.0,61.0,61.0,61.0,59.0,59.0
5022,38.0,38.0,36.0,30.0,30.0,32.0,32.0
5025,74.0,64.0,64.0,70.0,70.0,54.0,54.0
5026,28.0,28.0,28.0,28.0,28.0,13.0,13.0
5027,67.0,67.0,66.0,60.0,60.0,60.0,43.0
5028,106.0,105.0,106.0,104.0,104.0,106.0,114.0
5029,45.0,45.0,44.0,44.0,44.0,42.0,44.0
5031,43.0,34.0,50.0,50.0,50.0,50.0,50.0
5032,49.1,49.0,49.0,49.0,46.0,40.0,39.0
