komnr,2015,2016,2017,2018,2019,2020,2021
4220,10.46,3.57,3.5,6.0,5.7,13.3,11.1
4221,3.46,2.52,3.3,2.5,2.5,2.4,3.3
4222,4.94,2.77,2.2,1.3,1.4,3.1,3.8
4223,3.35,3.36,2.9,3.1,2.7,2.5,2.6
4224,2.15,1.92,2.1,2.1,2.2,2.5,5.4
4225,8.36,7.5,6.6,5.8,5.6,7.3,7.3
4226,2.37,1.6,1.4,1.4,2.4,2.8,3.1
4227,8.08,7.42,6.9,5.1,6.3,6.5,5.9
4228,2.27,1.55,2.1,5.9,6.8,5.8,3.7
1101,8.62,9.8,10.3,9.6,8.9,10.1,8.8
1108,12.26,10.62,10.2,8.6,9.1,2.9,2.6
1103,14.3,14.89,13.4,13.899999999999999,14.0,4.5,4.4
1106,6.68,7.45,8.2,8.5,9.4,10.0,9.4
1111,4.08,4.26,3.3,3.9,3.1,4.1,3.9
1112,2.95,3.87,6.0,4.1,4.5,4.5,4.6
1114,2.35,2.23,2.6,2.8,2.0,2.0,4.0
1119,7.22,7.39,7.3,8.0,7.8,7.8,7.4
1120,6.29,16.89,12.7,11.1,9.7,5.1,3.9
1121,6.13,8.55,9.9,10.9,9.5,9.6,8.7
1122,8.06,8.82,9.5,8.3,9.2,8.5,8.9
1124,4.2,4.61,4.4,4.2,4.8,5.1,5.1
1127,7.61,5.51,5.6,5.8,6.5,7.2,5.3
1130,12.58,11.92,9.8,10.0,8.2,9.6,10.4
1133,2.05,1.94,1.8,2.2,2.6,2.7,3.0
1134,3.86,4.3,4.9,4.9,4.1,4.8,4.2
1135,14.48,29.78,12.4,9.9,9.7,7.5,5.5
1144,1.95,1.88,1.9,1.2,1.5,1.0,1.0
1145,1.86,2.16,2.0,2.1,2.3,3.0,2.5
1146,4.16,3.63,4.2,5.1,5.0,4.8,5.4
1149,5.52,6.39,6.4,6.5,5.4,4.7,3.7
1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,3.52,4.29,3.9,4.6,3.8,4.0,4.4
4601,4.39,4.24,4.3,4.7,4.5,4.1,4.5
4602,9.07,9.29,9.6,9.3,5.3,2.5,2.4
4611,2.28,2.44,1.8,3.8,2.8,3.5,3.5
4612,2.05,2.24,2.6,2.6,2.6,4.2,3.2
4613,5.17,5.17,5.9,5.4,5.2,5.5,4.7
4614,10.28,10.63,11.0,10.4,9.2,9.5,8.6
4615,2.92,2.34,6.7,9.2,9.9,8.7,6.7
4616,2.34,2.5,2.5,2.7,2.7,3.0,3.0
4617,6.69,6.98,7.3,8.3,9.4,9.3,8.9
4618,21.97,20.96,21.2,21.1,20.700000000000003,7.5,7.9
4619,2.55,2.59,2.4,2.8,2.2,2.1,1.7
4620,3.69,3.2,2.8,3.1,3.2,2.9,2.6
4621,8.83,8.18,7.2,3.2,3.4,3.7,4.3
4622,5.4,4.58,6.1,5.1,6.4,7.2,7.3
4623,4.97,4.54,5.4,4.0,3.5,3.0,7.0
4624,20.42,17.590000000000003,18.2,19.4,21.9,8.1,9.9
4625,4.95,4.49,4.8,4.1,3.9,3.8,3.6
4626,21.49,15.559999999999999,16.9,15.1,16.2,7.3,7.7
4627,10.37,10.2,10.3,9.8,10.5,11.1,11.4
4628,5.83,5.41,5.9,5.5,6.1,5.3,5.7
4629,3.82,3.1,2.2,4.2,4.1,5.2,1.5
4630,11.21,7.79,6.7,6.9,6.9,11.4,13.1
4631,29.95,28.57,27.9,20.6,20.4,7.9,10.9
4632,2.18,2.41,14.8,13.8,12.5,10.9,7.4
4633,2.25,2.96,2.3,2.0,2.3,2.9,2.1
4634,2.68,2.22,2.1,2.4,2.2,1.9,10.4
4635,2.91,3.57,3.3,4.8,3.9,3.5,3.0
4636,5.34,4.52,4.1,3.9,4.1,4.5,3.9
4637,3.31,3.63,3.4,3.4,4.0,3.9,3.4
4638,3.06,3.55,3.3,3.4,3.8,3.3,3.2
4639,5.47,4.8,3.8,4.3,4.6,5.8,7.9
4640,20.84,24.51,26.200000000000003,28.7,31.6,9.4,9.7
4641,16.75,15.28,15.1,18.8,15.2,14.4,4.8
4642,4.71,4.51,4.8,4.8,4.0,4.0,4.4
4643,2.35,2.54,3.2,2.9,2.6,3.1,3.8
4644,2.53,2.3,3.9,2.6,4.3,3.4,3.4
4645,6.16,6.3,5.7,4.7,5.5,4.1,4.1
4646,3.83,3.32,3.7,3.3,2.2,6.0,5.9
4647,20.580000000000002,20.65,25.5,24.4,23.8,4.0,3.9
4648,3.52,3.38,3.1,6.1,6.2,6.9,6.5
4649,11.809999999999999,13.07,9.0,6.9,5.0,3.2,3.0
4650,7.26,6.26,7.8,8.0,9.5,9.8,9.0
4651,3.77,3.71,2.8,2.8,2.8,3.4,7.1
1577,8.6,8.6,9.8,10.899999999999999,10.600000000000001,6.6,7.0
1506,15.59,14.66,12.700000000000001,12.1,11.3,2.0,2.0
1507,21.51,22.72,22.599999999999998,24.900000000000002,24.1,3.6,4.2
1505,6.05,6.64,6.5,6.8,6.1,6.4,6.0
1511,4.53,5.03,6.7,4.1,3.7,3.0,3.4
1514,5.3,5.18,6.5,5.3,6.0,4.4,6.1
1515,2.02,2.86,3.4,3.4,2.8,2.6,1.9
1516,5.19,4.61,4.2,4.0,3.8,4.1,4.5
1517,6.17,3.38,3.1,3.3,2.3,2.1,2.2
1520,5.6,4.62,4.5,4.4,4.7,4.6,4.1
1578,5.46,6.1,4.9,4.6,5.0,1.8,1.6
1525,5.28,6.16,12.0,12.3,12.1,12.0,14.3
1528,10.13,11.56,12.7,9.1,8.0,6.3,6.0
1531,7.78,6.96,7.6,9.0,8.5,7.1,6.2
1532,10.46,10.04,9.0,10.2,9.3,10.6,11.2
1535,6.82,7.63,8.2,8.1,9.1,8.8,8.5
1539,4.01,4.06,3.7,3.8,3.9,5.1,4.7
1547,3.67,3.76,3.9,3.2,3.6,3.3,3.3
1579,4.88,4.08,3.8,4.2,4.2,2.6,2.0
1554,1.95,1.99,1.9,1.5,1.4,1.9,1.9
1557,3.43,4.35,4.0,4.1,6.0,5.6,6.0
1560,3.47,2.26,2.2,2.4,5.0,4.8,5.6
1563,3.6,4.41,8.0,14.7,5.4,5.1,5.2
1566,2.12,1.87,1.7,1.9,2.0,1.9,2.1
5061,1.97,3.53,4.0,3.1,2.1,2.4,3.0
1573,2.91,2.78,3.2,3.4,4.5,4.2,4.0
1576,3.55,3.9,4.6,4.7,6.5,8.0,8.0
5001,4.1899999999999995,4.529999999999999,4.699999999999999,4.1,4.3,2.7,2.7
5006,11.08,11.790000000000001,10.5,13.1,13.3,8.3,9.9
5007,17.8,18.8,22.1,23.5,20.7,5.7,6.9
5014,4.42,4.21,3.6,3.7,4.0,3.4,3.1
5057,7.75,10.73,10.1,8.799999999999999,7.0,4.3,3.9
5058,17.25,17.41,17.5,18.4,17.8,11.0,10.7
5020,2.75,2.75,4.1,4.2,5.1,4.3,4.6
5021,10.35,10.49,13.6,6.8,7.3,7.6,6.8
5022,2.23,3.06,2.0,2.2,1.8,1.7,1.9
5025,2.89,3.5,3.8,3.1,3.2,2.6,1.8
5026,2.43,3.04,2.0,2.1,2.1,7.7,6.4
5027,3.03,3.15,3.6,3.7,3.4,3.5,3.9
5028,6.36,7.98,8.1,8.0,6.5,5.1,5.6
5029,5.19,4.74,4.2,4.3,5.8,5.7,6.1
5031,6.0,4.34,4.8,7.0,7.1,5.9,5.4
5032,9.75,9.12,8.7,9.7,8.2,6.7,6.1
5033,3.01,3.02,3.5,2.3,3.1,2.0,2.5
5034,1.97,4.48,3.1,3.4,3.0,2.9,2.7
5035,7.84,9.95,7.9,7.5,6.2,5.9,5.4
5036,5.82,5.47,5.1,6.8,8.0,8.2,6.8
5037,2.09,2.21,2.3,2.9,2.6,2.4,2.3
5038,3.69,3.52,3.2,3.8,3.1,2.9,2.8
5041,3.48,3.21,2.8,3.8,3.6,4.3,3.6
5042,2.91,3.79,2.9,2.4,2.1,2.5,2.4
5043,3.03,3.78,4.4,4.2,3.7,4.1,4.2
5044,1.62,1.61,2.3,2.5,2.7,3.7,3.7
