komnr,2015,2016,2017,2018,2019,2020,2021
4611,2.84,3.13,2.1,2.7,5.6,6.0,5.5
4612,1.91,2.07,3.9,3.7,3.7,4.6,4.3
4613,3.74,4.09,5.4,5.2,5.1,4.2,3.9
4614,8.76,8.83,9.6,9.6,8.3,7.9,7.5
4615,6.02,3.49,4.4,7.8,9.6,9.1,7.9
4616,4.33,4.56,4.7,4.8,5.0,5.5,4.7
4617,5.78,5.22,5.3,6.2,7.7,6.9,6.5
4618,22.88,20.77,21.5,21.6,20.6,8.2,8.6
4619,2.17,2.36,2.4,2.3,2.1,2.1,2.1
4620,3.61,2.85,2.8,4.9,4.3,2.1,1.7
4621,8.82,8.32,8.0,3.9,3.5,3.8,4.9
4622,4.41,4.82,6.8,6.0,6.3,7.2,7.0
4623,2.35,1.58,1.6,1.9,1.9,2.1,2.4
4624,17.04,12.780000000000001,14.299999999999999,13.7,13.1,7.8,10.2
4625,4.89,4.72,4.4,5.0,4.5,4.3,4.6
4626,15.440000000000001,15.21,16.3,15.799999999999999,14.6,6.3,6.0
4627,4.26,4.17,3.7,3.9,3.9,4.6,4.5
4628,3.64,3.45,4.3,4.5,4.5,4.6,4.5
4629,3.06,2.87,1.9,2.2,1.0,4.0,1.6
4630,6.12,4.83,3.7,4.0,4.7,7.0,6.9
4631,15.870000000000001,14.82,13.8,14.4,16.4,5.6,6.0
4632,1.96,2.2,1.6,2.2,2.9,2.2,3.1
4633,2.25,3.43,2.8,2.8,3.1,3.9,2.4
4634,2.97,2.43,2.5,2.9,2.5,2.1,2.2
4635,3.02,3.53,3.3,4.7,3.5,3.6,2.9
4636,3.63,2.72,2.4,2.1,3.0,2.5,2.1
4637,4.63,4.67,4.4,4.5,4.9,4.4,3.9
4638,3.61,4.36,5.6,5.8,4.9,4.7,5.0
4639,5.68,4.33,3.8,4.4,4.5,4.6,6.2
4640,20.48,20.64,23.4,30.7,27.5,10.8,10.6
4641,4.91,5.08,4.5,4.0,4.2,5.8,5.0
